Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,Industry_Group
"460","PIIND","Pi Industries","2803.60","-42.40","-1.49","37","48","19","B","128","Chemicals-Agricultural  ",
"461","ICICIPRULI","Icici Prudential Life Insurance","500.30","-21.80","-4.18","54","87","19","C+","158","Insurance-Life          ",
"462","HDFCLIFE","Hdfc Life Insurance Co","591.85","0.55","0.09","41","54","19","C","158","Insurance-Life          ",
"463","BSOFT","Birlasoft","326.40","1.25","0.38","43","66","19","B","177","Computer-Tech Services  ",
"464","HAVELLS","Havell's India","1176.30","-18.10","-1.52","60","71","18","C-","11","Electrical-Power/Equipmt",
"465","ABREL","Aditya Birla Real Estate Ltd","1279.50","-40.10","-3.04","48","26","18","C+","124","Finance-Property Reit   ",
"466","SIGNATURE","Signatureglobal (India) Ltd","798.80","7.40","0.94","50","37","18","B+","136","Bldg-Resident/Comml     ",
"467","ACC","Acc","1343.30","-15.60","-1.15","34","33","18","E","140","Bldg-Cement/Concrt/Ag   ",
"468","IRCTC","Indian Railway Catering And Tourism Corp","519.60","-4.40","-0.84","41","73","18","B","149","Leisure-Travel Booking  ",
"469","SYNGENE","Syngene Inter","440.75","0.45","0.10","36","31","18","B+","153","Medical-Research Eqp/Svc",
"470","HEXT","Hexaware Technologies Ltd","499.60","6.60","1.34","41","56","18","B","177","Computer-Tech Services  ",
"471","CYIENT","Cyient Ltd (Nse)","859.05","-14.40","-1.65","35","35","18","B","177","Computer-Tech Services  ",
"472","SWANCORP","Swan Corp Ltd","318.25","-0.70","-0.22","53","29","16","B","71","Apparel-Clothing Mfg    ",
"473","AWL","Awl Agri Business Limited","184.31","-8.12","-4.22","42","33","16","B-","102","Food-Packaged           ",
"474","ITC","ITC","292.50","1.35","0.46","33","46","16","E","167","Tobacco                 ",
"475","NAUKRI","Info Edge (India) (Nse)","984.25","-22.55","-2.24","44","43","16","D","168","Internet-Content        ",
"476","INOXWIND","Inox Wind","90.72","1.39","1.56","41","15","14","A","21","Energy-Alternative/Other",
"477","ECLERX","Eclerx Services","1418.70","-29.40","-2.03","44","84","14","B","157","Comml Svcs-Market Rsrch ",
"478","KPITTECH","Kpit Technologies Limited","760.05","14.10","1.89","37","58","14","B","177","Computer-Tech Services  ",
"479","TATAELXSI","Tata Elxsi (Nse)","4065.50","-50.50","-1.23","44","53","13","D-","66","Computer Sftwr-Desktop  ",
"480","PATANJALI","Patanjali Foods","421.70","-2.50","-0.59","56","83","13","D-","73","Food-Misc Preparation   ",
"481","UBL","United Breweries","1341.90","0.60","0.04","40","69","13","B","117","Beverages-Alcoholic     ",
"482","RPOWER","Reliance Power","26.10","-0.56","-2.10","26","10","12","B+","23","Utility-Electric Power  ",
"483","KEC","Kec International","541.45","15.65","2.98","41","40","12","A","91","Bldg-Heavy Construction ",
"484","WHIRLPOOL","Whirlpool Of India (Nse)","794.95","-12.55","-1.55","37","23","12","A-","120","Hsehold-Appliances/Wares",
"485","WIPRO","Wipro (Nse)","180.80","-2.04","-1.12","36","48","12","D-","177","Computer-Tech Services  ",
"486","RVNL","Rail Vikas Nigam","243.99","-3.59","-1.45","35","38","11","B-","91","Bldg-Heavy Construction ",
"487","EIDPARRY","Eid Parry (India) (Nse)","704.10","-17.30","-2.40","35","40","11","E","102","Food-Packaged           ",
"488","JUBLFOOD","Jubilant Foodworks","419.00","-3.95","-0.93","53","71","10","B-","152","Retail-Restaurants      ",
"489","SBICARD","Sbi Cards And Payment Services","616.90","-8.05","-1.29","41","73","10","C-","175","Finance-Crdtcard/Pmtpr  ",
"490","LTM","LTM Ltd","3832.50","-165.50","-4.14","42","59","9","D+","177","Computer-Tech Services  ",
"491","HCLTECH","Hcl Technologies (Nse)","1131.70","-30.10","-2.59","40","54","9","C-","177","Computer-Tech Services  ",
"492","FIRSTCRY","Brainbees Solutions Ltd","215.75","-3.33","-1.52","49","23","7","B-","165","Consumer Prod-Specialty ",
"493","PINELABS","Pine Labs Ltd","152.31","2.48","1.66","31","10","7","B-","175","Finance-Crdtcard/Pmtpr  ",
"494","INFY","Infosys","1051.40","-76.10","-6.75","41","66","7","C-","177","Computer-Tech Services  ",
"495","TCS","Tata Consultancy Svs.","2125.00","-78.30","-3.55","40","56","7","E","177","Computer-Tech Services  ",
"496","NEWGEN","Newgen Software Techs","481.95","-6.00","-1.23","33","56","7","B-","179","Comp Sftwr-Spec Enterprs",
"497","KAYNES","Kaynes Technology India","3253.10","-132.40","-3.91","35","79","6","B-","5","Elec-Misc Products      ",
"498","SWIGGY","Swiggy Ltd","254.05","-1.90","-0.74","39","21","6","B-","154","Retail-Internet         ",
"499","MAPMYINDIA","C.E. Info Systems","889.35","-1.30","-0.15","35","52","6","B-","179","Comp Sftwr-Spec Enterprs",
"500","ZENSARTECH","Zensar Technologies","447.95","-14.80","-3.20","40","80","3","E","177","Computer-Tech Services  ",
