Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,Industry_Group
"76","RADICO","Radico Khaitan (Nse)","3769.20","79.20","2.15","75","86","86","A+","117","Beverages-Alcoholic     ",
"77","SAIL","Steel Auth.Of Ida. (Nse)","180.05","-2.11","-1.16","73","56","85","B","33","Steel-Producers         ",
"78","NEULANDLAB","Neuland Laboratories","17345.00","125.00","0.73","76","85","85","B","67","Medical-Diversified     ",
"79","ADANIPORTS","Adani Ports and Special Economic Zone","1835.30","-6.80","-0.37","67","78","85","A-","82","Real Estate Dvlpmt/Ops  ",
"80","NYKAA","Fsn E-Commerce Ventures","302.30","4.20","1.41","78","90","85","A-","118","Cosmetics/Personal Care ",
"81","CHENNPETRO","Chennai Petroleum (Nse)","1097.80","-21.60","-1.93","67","76","85","B+","129","Oil&Gas-Refining/Mktg   ",
"82","CARTRADE","Cartrade Tech","2558.60","-26.40","-1.02","65","93","85","A","154","Retail-Internet         ",
"83","NLCINDIA","NLC India","321.70","-2.05","-0.63","71","87","84","B+","23","Utility-Electric Power  ",
"84","HINDALCO","Hindalco Industries","1010.00","1.50","0.15","61","38","84","B-","29","Metal Proc & Fabrication",
"85","STARHEALTH","Star Health And Allied Insurance Company","580.25","14.60","2.58","77","71","84","A","32","Insurance-Acc & Health  ",
"86","GALLANTT","Gallantt Ispat","713.35","-25.45","-3.44","59","38","84","A-","33","Steel-Producers         ",
"87","GLAND","Gland Pharma","2199.00","-3.20","-0.15","78","70","84","B","60","Medical-Generic Drugs   ",
"88","ICICIAMC","Icici Prudential Amc","3429.00","-2.70","-0.08","57","45","84","B+","68","Finance-Investment Mgmt ",
"89","SAMMAANCAP","Sammaan Capital Ltd","174.60","0.20","0.11","53","13","84","A+","111","Finance-Consumer Loans  ",
"90","YESBANK","Yes Bank","25.41","-0.07","-0.27","48","90","84","A","121","Banks-Money Center      ",
"91","BANDHANBNK","Bandhan Bank","208.09","-6.19","-2.89","64","52","84","A+","121","Banks-Money Center      ",
"92","NIACL","The New India Assurance Co","202.31","23.64","13.23","66","66","84","A+","130","Insurance-Brokers       ",
"93","ELGIEQUIP","Elgi Equipments (Nse)","612.75","10.75","1.79","65","83","83","A+","18","Machinery-Gen Industrial",
"94","EMCURE","Emcure Pharmaceuticals Ltd","1776.00","22.80","1.30","72","89","83","C-","28","Medical-Supplies        ",
"95","SONACOMS","Sona Blw Precision Forgings","613.80","8.75","1.45","62","74","83","A-","49","Auto/Truck-Original Eqp ",
"96","TATACOMM","Tata Communications(Nse)","1988.80","46.80","2.41","62","42","83","A","64","Telecom Svcs-Integrated ",
"97","CGCL","Capri Global Capital","220.96","0.15","0.07","64","90","83","A+","111","Finance-Consumer Loans  ",
"98","SHRIRAMFIN","Shriram Finance","1001.90","-0.80","-0.08","64","83","83","B-","111","Finance-Consumer Loans  ",
"99","OLECTRA","Olectra Greentech","1520.30","73.70","5.09","65","92","83","A+","138","Auto Manufacturers      ",
"100","OLAELEC","Ola Electric Mobility Ltd","42.25","-0.02","-0.05","37","34","83","A","138","Auto Manufacturers      ",
"101","TEJASNET","Tejas Networks","632.35","32.20","5.37","55","2","82","A+","1","Computer-Networking     ",
"102","ABB","ABB India","7248.00","19.00","0.26","70","93","82","B","11","Electrical-Power/Equipmt",
